brand,model,release_year,release_month,website_views,website_likes,display_size,display_pixel_width,display_pixel_height,camera_megapixels,video_pixels,memory_gb_size,ram_gb_size,battery_mah_size,network_types,dimension_height,dimension_width,dimension_thickness,os,chipset,cpu,gpu,memory_slot,loudspeaker,audiojack,wifi,bluetooth,gps,radio,price
Casio,G'zOne Brigade,2010,February,"167,535",16,2.9,400,240,3,Video recorder,256MB,192MB,1440,CDMA / EVDO,112.8,56.2,24.6,,,,,microSDHC,No,No,No,2.1,Yes,No,
Bosch,Com 207,1997,,"92,202",5,,1,10,,No video recorder,,,600,GSM,147,56,23,,,,,No,,No,No,No,No,No,
BQ, Aquaris M10,2015,Released,"76,379",6,10.1,800,1280,5,1080p,16GB,2GB,7280,No cellular connectivity,246,171,8.2,Android 5.1 (Lollipop),Mediatek MT8163B,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,230
Blackview,A7,2017,,"98,222",1,5.0,720,1280,5,1080p,8GB,1GB,2800,GSM / HSPA,143,71,9.5,Android 7.0 (Nougat),Mediatek MT6580A (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,Yes,Yes,Wi-Fi,4.0,Yes,No,60
ZTE,Axon 10 Pro 5G,2019,February,"465,083",98,6.47,1080,2340,48,2160p,128GB,6GB,4000,GSM / CDMA / HSPA / LTE / 5G,159.2,73.4,7.9,"Android 9.0 (Pie), MiFavor 9.1",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,microSDXC,Yes,No,Wi-Fi,5.0,Yes,No,900
ZTE,nubia Alpha,2019,February,"237,033",65,4.01,192,960,5,,8GB,1GB,500,GSM / HSPA / LTE,47.1,35,13.8,Proprietary platform,Qualcomm MSM8909W Snapdragon Wear 2100,Quad-core 1.1 GHz Cortex-A7,Adreno 304,No,Yes,No,Wi-Fi,5.0,Yes,No,450
BLU,C6,2018,June,"65,504",0,5.5,720,1280,8,1080p,16GB,1GB,2500,GSM / HSPA,152.2,77.6,9.4,Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,100
BLU,Studio G4,2018,July,"47,408",0,5.2,720,1280,8,1080p,16GB,1GB,2000,GSM / HSPA,141.5,73.5,8.5,Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,80
BenQ-Siemens,S68,2006,January,"288,866",9,1.8,132,176,,No video recorder,26MB,,660,GSM,107.5,44,13.2,,,,,No,,No,No,1.2,No,No,
ZTE,Blade X,2017,October,"180,461",6,5.5,720,1280,13,1080p,16GB,2GB,3000,GSM / HSPA / LTE,156,77.5,8.9,Android 7.1.1 (Nougat),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,Adreno 308,microSDXC,Yes,Yes,Wi-Fi,4.2,Yes,FM,120
ZTE,Maven 2,2017,July,"68,725",3,5.0,480,854,5,720p,8GB,1GB,2300,GSM / HSPA / LTE,145.5,73,11,Android 6.0.1 (Marshmallow),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz,Adreno 304,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,60
BLU,C5 LTE,2017,November,"42,124",0,5.0,480,854,5,720p,8GB,1GB,2000,GSM / HSPA / LTE,144.4,73.2,10,Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.1 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Grand M2 LTE,2017,October,"41,765",0,5.2,480,854,5,1080p,8GB,1GB,2600,GSM / HSPA / LTE,144.9,72.1,9.4,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.1 GHz Cortex-A53,Mali-T720,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
Bird,S288 Plus,2003,,"53,210",5,,112,80,,No video recorder,,,670,GSM,103,44,12,,,,,No,,No,No,No,No,No,
Bird,S788,2004,,"49,293",5,,112,80,,No video recorder,,,670,GSM,115,45,14,,,,,No,,No,No,No,No,No,
ZTE,Blade A520,2017,March,"400,552",13,5.0,720,1280,8,1080p,8GB,1GB,2400,GSM / HSPA / LTE,144,71,8.4,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,Mali-T720MP2,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,80
ZTE,nubia Z17 mini,2017,April,"767,609",80,5.2,1080,1920,13,2160p,64GB,4GB,2950,GSM / HSPA / LTE,146.7,72.5,7.5,"Android 6.1 (Marshmallow), nubia UI 4","Qualcomm MSM8976 Snapdragon 652 (28 nm) - Standard edition,Qualcomm MSM8976 Pro Snapdragon 653 (28 nm) - High edition",Octa-core (4x1.95 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Adreno 510,microSDXC,Yes,Yes,Wi-Fi,4.1,Yes,FM,170
BLU,Studio Mega,2017,June,"94,715",4,6.0,720,1280,8,1080p,8GB,1GB,2500,GSM / HSPA,166.2,83.9,9.5,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
BLU,Studio J2,2017,May,"74,713",1,5.0,480,854,5,720p,8GB,512MB,2000,GSM / HSPA,144.9,72.9,10.4,Android 6.0 (Marshmallow),Mediatek MT6570 (28 nm),Dual-core 1.3 GHz Cortex-A7,Mali-400,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,No,
BLU,Grand XL,2017,June,"102,916",1,5.5,720,1280,8,1080p,8GB,1GB,2650,GSM / HSPA,157.5,78.6,9.1,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,Yes,Yes,Wi-Fi,4.0,Yes,FM,
